star,ra,dec,comment,ra_deg,dec_deg
HD 147513 ,16:24:01.3 ,-39:11:35.0 ,H-coron (~1 hr),246.005416666667,-39.1930555555556
TYC 959-989-1,16:26:48.9 ,08:23:26.0 ,H-coron (~1 hr),246.70375,8.39055555555555
HIP80591 ,16:27:14.6 ,-39:49:21.7 ,H-coron (~1 hr),246.810833333333,-39.8226944444445
TYC 5626-979-1,16:27:29.0 ,-08:34:19.2 ,H-coron (~1 hr),246.870833333333,-8.572
HIP 80686 ,16:28:28.1 ,-70:05:03.8 ,H-coron (~1 hr),247.117083333333,-70.0843888888889
HIP 81068 ,16:33:30.1 ,17:49:43.2 ,H-coron (~1 hr),248.375416666667,17.8286666666667
HIP 81425 ,16:37:48.0 ,13:41:13.9 ,H-coron (~1 hr),249.45,13.6871944444444
HIP 81592 ,16:39:47.0 ,-51:59:39.0 ,H-coron (~1 hr),249.945833333333,-51.9941666666667
HD 150554 ,16:40:56.5 ,21:56:53.3 ,H-coron (~1 hr),250.235416666667,21.9481388888889
HIP 82303 ,16:48:59.8 ,-08:55:47.7 ,H-coron (~1 hr),252.249166666667,-8.92991666666667
HD 151798 ,16:50:05.2 ,-12:23:14.8 ,H-coron (~1 hr),252.521666666667,-12.3874444444444
HIP82397 ,16:50:10.7 ,-26:44:32.9 ,H-coron (~1 hr); H-coron-pol,252.544583333333,-26.7424722222222
HIP82534 ,16:52:13.3 ,-26:55:10.6 ,H-coron (~1 hr),253.055416666667,-26.9196111111111
HD 152555 ,16:54:08.1 ,-04:20:24.7 ,H-coron (~1 hr),253.53375,-4.34019444444444
HIP 82747 ,16:54:45 ,-36:53:19 ,H-coron (~1 hr); H-coron-pol,253.6875,-36.8886111111111
HIP 83187 ,17:00:06.2 ,-54:35:49.2 ,H-coron (~1 hr); H-coron-pol,255.025833333333,-54.597
TYC 410-2888-1,17:06:56.7 ,06:47:48.1 ,H-coron (~1 hr),256.73625,6.79669444444444
HD 154734 ,17:06:57.5 ,06:48:02.9 ,H-coron (~1 hr),256.739583333333,6.80080555555556
HIP 83962 ,17:09:48.0 ,-10:31:23.9 ,H-coron (~1 hr),257.45,-10.5233055555556
HIP 84121 ,17:11:51.2 ,-45:52:27.6 ,H-coron (~1 hr),257.963333333333,-45.8743333333333
HIP 84150 ,17:12:16.2 ,-39:30:24.4 ,H-coron (~1 hr),258.0675,-39.5067777777778
TYC 8739-1303-2,17:12:58.9 ,-58:35:47.0 ,H-coron (~1 hr),258.245416666667,-58.5963888888889
HIP 84397 ,17:15:17.3 ,-07:12:06.0 ,H-coron (~1 hr),258.822083333333,-7.20166666666667
HIP 84586 ,17:17:25.5 ,-66:57:03.7 ,H-coron (~1 hr),259.35625,-66.9510277777778
HIP 84881 ,17:20:51 ,-45:25:15 ,H-coron (~1 hr); H-coron-pol,260.2125,-45.4208333333333
HIP 85038 ,17:22:47.9 ,-58:28:23.7 ,H-coron (~1 hr),260.699583333333,-58.47325
HIP 85157 ,17:24:06.6 ,22:57:37.4 ,H-coron (~1 hr); H-coron-pol,261.0275,22.9603888888889
HD 157587 ,17:24:52.2 ,-18:51:33.2 ,H-coron (~1 hr); H-coron-pol,261.2175,-18.8592222222222
TYC 7883-2069-1,17:25:34.3 ,-38:48:39.7 ,H-coron (~1 hr),261.392916666667,-38.8110277777778
HIP 85307 ,17:25:57.8 ,-01:39:06.8 ,H-coron (~1 hr),261.490833333333,-1.65188888888889
HIP 85360 ,17:26:34.9 ,-32:58:11.0 ,H-coron (~1 hr),261.645416666667,-32.9697222222222
CD-54 7336 ,17:29:55.0 ,-54:15:48.6 ,H-coron (~1 hr),262.479166666667,-54.2635
HIP 85922 ,17:33:29.9 ,-05:44:40.5 ,H-coron (~1 hr); H-coron-pol,263.374583333333,-5.74458333333333
HIP 86305 ,17:38:05.5 ,-54:30:01.6 ,H-coron (~1 hr); H-coron-pol,264.522916666667,-54.5004444444444
HD 160305 ,17:41:49.0 ,-50:43:28.0 ,H-coron (~1 hr),265.454166666667,-50.7244444444444
HIP 86672 ,17:42:30.4 ,-28:44:56.0 ,H-coron (~1 hr),265.626666666667,-28.7488888888889
TYC 424-1952-1,17:46:25.4 ,03:58:48.9 ,H-coron (~1 hr),266.605833333333,3.98025
HD 161012 ,17:46:48.5 ,-59:06:14.7 ,H-coron (~1 hr),266.702083333333,-59.1040833333333
HIP 87108 ,17:47:53.6 ,02:42:26.9 ,H-coron (~1 hr); H-coron-pol,266.973333333333,2.70747222222222
TYC 8750-480-1,17:57:31.7 ,-57:39:51.0 ,H-coron (~1 hr),269.382083333333,-57.6641666666667
HD 164249 ,18:03:03.4 ,-51:38:55.7 ,H-coron (~1 hr); H-coron-pol,270.764166666667,-51.6488055555556
HIP 88694 ,18:06:23.7 ,-36:01:11.0 ,H-coron (~1 hr),271.59875,-36.0197222222222
HIP 89805 ,18:19:40.1 ,-63:53:11.6 ,H-coron (~1 hr),274.917083333333,-63.8865555555556
HIP 90133 ,18:23:36.4 ,-75:02:39.6 ,H-coron (~1 hr),275.901666666667,-75.0443333333333
TYC 7401-2446-1,18:24:50.6 ,-34:11:26.4 ,H-coron (~1 hr),276.210833333333,-34.1906666666667
L 206-187 ,18:30:11.9 ,-58:16:27.6 ,H-coron (~1 hr),277.549583333333,-58.2743333333333
HD 170773 ,18:33:00.9 ,-39:53:31.3 ,H-coron (~1 hr); H-coron-pol,278.25375,-39.8920277777778
HIP 90991 ,18:33:39.0 ,-14:51:12.9 ,H-coron (~1 hr),278.4125,-14.8535833333333
HIP 91043 ,18:34:20.2 ,18:41:24.7 ,H-coron (~1 hr),278.584166666667,18.6901944444444
HIP 91217 ,18:36:27.8 ,09:07:21.0 ,H-coron (~1 hr),279.115833333333,9.1225
HIP 92024 ,18:45:26.9 ,-64:52:16.5 ,H-coron (~1 hr); H-coron-pol,281.362083333333,-64.87125
HIP 92161 ,18:47:01.3 ,18:10:53.5 ,H-coron (~1 hr),281.755416666667,18.1815277777778
PZ Tel ,18:53:05.9 ,-50:10:50.0 ,H-coron (~1 hr),283.274583333333,-50.1805555555556
HIP 92871 ,18:55:27.4 ,08:24:09.6 ,H-coron (~1 hr),283.864166666667,8.40266666666667
HD 175726 ,18:56:37.2 ,04:15:55.2 ,H-coron (~1 hr),284.155,4.26533333333333
HIP 93375 ,19:01:06.0 ,-28:42:49.7 ,H-coron (~1 hr),285.275,-28.7138055555556
HD 176383 ,19:01:28.6 ,-34:22:35.5 ,H-coron (~1 hr); H-coron-pol,285.369166666667,-34.3765277777778
TYC 466-1374-1,19:02:17.1 ,02:44:22.0 ,H-coron (~1 hr),285.57125,2.73944444444444
rho Tel ,19:06:19.9 ,-52:20:26.3 ,H-coron (~1 hr),286.582916666667,-52.3406388888889
HIP 94020 ,19:08:31.7 ,-30:58:21.1 ,H-coron (~1 hr),287.132083333333,-30.9725277777778
HIP 94050 ,19:08:50.5 ,-42:25:41.0 ,H-coron (~1 hr),287.210416666667,-42.4280555555556
HIP 94114 ,19:09:28.3 ,-37:54:16.1 ,H-coron (~1 hr); H-coron-pol,287.367916666667,-37.9044722222222
HIP 95261 ,19:22:51.2 ,-54:25:26.2 ,H-coron (~1 hr); H-coron-pol,290.713333333333,-54.4239444444444
HD 181327 ,19:22:58.9 ,-54:32:17.0 ,H-coron (~1 hr); H-coron-pol,290.745416666667,-54.5380555555556
HD 181869 ,19:23:53.2 ,-40:36:57.4 ,H-coron (~1 hr),290.971666666667,-40.6159444444444
HD 182681 ,19:26:56.5 ,-29:44:35.2 ,H-coron (~1 hr); H-coron-pol,291.735416666667,-29.7431111111111
HIP 95793 ,19:29:01.0 ,01:57:01.9 ,H-coron (~1 hr),292.254166666667,1.95052777777778
HD 183216 ,19:29:40.6 ,-30:47:51.9 ,H-coron (~1 hr); H-coron-pol,292.419166666667,-30.79775
TYC 7429-1696-1,19:30:57.4 ,-32:41:56.7 ,H-coron (~1 hr),292.739166666667,-32.6990833333333
HIP 96334 ,19:35:09.7 ,-69:58:32.0 ,H-coron (~1 hr),293.790416666667,-69.9755555555556
HD 185181 ,19:38:51.5 ,-25:52:19.5 ,H-coron (~1 hr),294.714583333333,-25.8720833333333
HIP 96880 ,19:41:35.7 ,-72:26:45.7 ,H-coron (~1 hr); H-coron-pol,295.39875,-72.4460277777778
HIP 97229 ,19:45:39.9 ,07:36:47.4 ,H-coron (~1 hr),296.41625,7.61316666666667
HIP 97423 ,19:48:03.0 ,-13:42:12.8 ,H-coron (~1 hr),297.0125,-13.7035555555556
HIP 97557 ,19:49:44.0 ,-32:45:49.7 ,H-coron (~1 hr),297.433333333333,-32.7638055555556
HIP 97944 ,19:54:17.8 ,-23:56:27.9 ,H-coron (~1 hr),298.574166666667,-23.9410833333333
HIP 98470 ,20:00:20.3 ,-33:42:12.4 ,H-coron (~1 hr),300.084583333333,-33.7034444444445
HD 188228 ,20:00:35.6 ,-72:54:37.8 ,H-coron (~1 hr),300.148333333333,-72.9105
CD-50 12781 ,20:02:36.2 ,-50:03:00.3 ,H-coron (~1 hr),300.650833333333,-50.0500833333333
HIP 98839 ,20:04:18.1 ,-26:19:46.3 ,H-coron (~1 hr),301.075416666667,-26.3295277777778
HD 190081 ,20:04:36.5 ,-35:12:51.1 ,H-coron (~1 hr),301.152083333333,-35.2141944444444
TYC 9098-1297-1,20:07:19.8 ,-65:51:08.8 ,H-coron (~1 hr),301.8325,-65.8524444444444
HD 191089 ,20:09:05.2 ,-26:13:26.5 ,H-coron (~1 hr); H-coron-pol,302.271666666667,-26.2240277777778
HIP 99742 ,20:14:16.6 ,15:11:50.9 ,H-coron (~1 hr); H-coron-pol,303.569166666667,15.1974722222222
HIP 99803 ,20:14:56.1 ,-56:58:34.5 ,H-coron (~1 hr),303.73375,-56.97625
CPD-57 9635B ,20:14:56.4 ,-56:58:28.8 ,H-coron (~1 hr),303.735,-56.9746666666667
HD 193924 ,20:25:38.9 ,-56:44:05.6 ,H-coron (~1 hr),306.412083333333,-56.7348888888889
HIP 100787 ,20:26:04.7 ,-46:39:35.8 ,H-coron (~1 hr); H-coron-pol,306.519583333333,-46.6599444444444
HIP 101022 ,20:28:49.9 ,-01:44:04.1 ,H-coron (~1 hr),307.207916666667,-1.73447222222222
HIP 101120 ,20:29:52.6 ,-18:35:10.3 ,H-coron (~1 hr),307.469166666667,-18.5861944444444
HIP 101123 ,20:29:53.9 ,-18:34:59.5 ,H-coron (~1 hr),307.474583333333,-18.5831944444444
HIP 101483 ,20:33:57.0 ,13:01:37.9 ,H-coron (~1 hr),308.4875,13.0271944444444
HD 195830 ,20:34:46.9 ,-33:55:19.0 ,H-coron (~1 hr),308.695416666667,-33.9219444444444
HD 195627 ,20:35:34.9 ,-60:34:54.3 ,H-coron (~1 hr); H-coron-pol,308.895416666667,-60.58175
HIP 101800 ,20:37:49.1 ,11:22:39.7 ,H-coron (~1 hr); H-coron-pol,309.454583333333,11.3776944444444
AU Mic ,20:45:09.5 ,-31:20:27.2 ,H-coron (~1 hr); H-coron-pol,311.289583333333,-31.3408888888889
HIP 102531 ,20:46:38.9 ,16:07:26.9 ,H-coron (~1 hr),311.662083333333,16.1241388888889
V* BO Mic ,20:47:45.0 ,-36:35:40.7 ,H-coron (~1 hr),311.9375,-36.5946388888889
CD-28 16938 ,20:49:47.9 ,-28:28:09.1 ,H-coron (~1 hr),312.449583333333,-28.4691944444444
HIP 103107 ,20:53:25.9 ,-49:22:58.1 ,H-coron (~1 hr),313.357916666667,-49.3828055555556
HD 199260 ,20:56:47.3 ,-26:17:46.4 ,H-coron (~1 hr),314.197083333333,-26.2962222222222
TYC 8804-1150-1,20:57:22.4 ,-59:04:33.4 ,H-coron (~1 hr),314.343333333333,-59.0759444444444
HIP 103460 ,20:57:40.6 ,-16:01:53.6 ,H-coron (~1 hr),314.419166666667,-16.0315555555556
HIP 104239 ,21:07:10.4 ,-13:55:23.0 ,H-coron (~1 hr),316.793333333333,-13.9230555555556
HIP 104308 ,21:07:51.2 ,-54:12:58.8 ,H-coron (~1 hr),316.963333333333,-54.2163333333333
HIP 104365 ,21:08:33.6 ,-21:11:36.6 ,H-coron (~1 hr),317.14,-21.1935
TYC 8797-1377-1,21:10:25.4 ,-54:34:26.0 ,H-coron (~1 hr),317.605833333333,-54.5738888888889
TYC 8797-1377-2,21:10:25.7 ,-54:34:28.1 ,H-coron (~1 hr),317.607083333333,-54.5744722222222
TYC 5784-205-1,21:12:22.4 ,-14:59:58.0 ,H-coron (~1 hr),318.093333333333,-14.9994444444444
TYC 6347-1583-1,21:12:22.6 ,-15:00:00.0 ,H-coron (~1 hr),318.094166666667,-15
HIP 104864 ,21:14:32.8 ,-22:52:41.1 ,H-coron (~1 hr),318.636666666667,-22.8780833333333
HIP 105044 ,21:16:37.9 ,-36:10:24.1 ,H-coron (~1 hr),319.157916666667,-36.1733611111111
HIP 105156 ,21:18:05.2 ,-29:30:48.2 ,H-coron (~1 hr),319.521666666667,-29.5133888888889
HIP 105184 ,21:18:27.3 ,-43:20:05.0 ,H-coron (~1 hr),319.61375,-43.3347222222222
HD 202917 ,21:20:49.9 ,-53:02:02.4 ,H-coron (~1 hr); H-coron-pol,320.207916666667,-53.034
HIP 105404 ,21:20:59.8 ,-52:28:40.1 ,H-coron (~1 hr),320.249166666667,-52.4778055555556
HIP 105441 ,21:21:24.5 ,-66:54:57.4 ,H-coron (~1 hr),320.352083333333,-66.9159444444444
HIP 105612 ,21:23:27.1 ,-75:29:38.6 ,H-coron (~1 hr),320.862916666667,-75.4940555555556
HIP 105712 ,21:24:40.6 ,-68:13:40.2 ,H-coron (~1 hr),321.169166666667,-68.2278333333333
HIP 105860 ,21:26:26.6 ,19:22:32.2 ,H-coron (~1 hr),321.610833333333,19.3756111111111
HD 205674 ,21:37:21.1 ,-18:26:28.2 ,H-coron (~1 hr); H-coron-pol,324.337916666667,-18.4411666666667
HD 205905 ,21:39:10.2 ,-27:18:24.0 ,H-coron (~1 hr),324.7925,-27.3066666666667
HIP 107095 ,21:41:32.9 ,-14:02:51.4 ,H-coron (~1 hr),325.387083333333,-14.0476111111111
HN Peg ,21:44:31.3 ,14:46:19.0 ,H-coron (~1 hr),326.130416666667,14.7719444444444
HD 206893 ,21:45:21.9 ,-12:47:00.0 ,H-coron (~1 hr); H-coron-pol,326.34125,-12.7833333333333
HD 207129 ,21:48:15.8 ,-47:18:13.0 ,H-coron (~1 hr); H-coron-pol,327.065833333333,-47.3036111111111
HIP 107947 ,21:52:09.7 ,-62:03:08.5 ,H-coron (~1 hr); H-coron-pol,328.040416666667,-62.0523611111111
HIP 108060 ,21:53:37.4 ,19:40:06.2 ,H-coron (~1 hr),328.405833333333,19.6683888888889
HIP 108405 ,21:57:41.2 ,-51:00:22.0 ,H-coron (~1 hr),329.421666666667,-51.0061111111111
HD 209253 ,22:02:33.0 ,-32:08:01.5 ,H-coron (~1 hr); H-coron-pol,330.6375,-32.13375
HD 209100 ,22:03:21.7 ,-56:47:10.0 ,H-coron (~1 hr),330.840416666667,-56.7861111111111
HIP 108912 ,22:03:42.4 ,-60:26:15.0 ,H-coron (~1 hr),330.926666666667,-60.4375
HD 209952 ,22:08:14.0 ,-46:57:39.5 ,H-coron (~1 hr),332.058333333333,-46.9609722222222
HIP 109285 ,22:08:23.0 ,-32:59:18.2 ,H-coron (~1 hr),332.095833333333,-32.9883888888889
V* CS Gru ,22:15:35.2 ,-39:00:50.6 ,H-coron (~1 hr),333.896666666667,-39.0140555555556
BD-14 6241 ,22:16:00.6 ,-14:11:02.3 ,H-coron (~1 hr),334.0025,-14.1839722222222
HIP 110935 ,22:28:37.7 ,-67:29:20.6 ,H-coron (~1 hr),337.157083333333,-67.4890555555556
HIP 111188 ,22:31:30.3 ,-32:20:45.7 ,H-coron (~1 hr); H-coron-pol,337.87625,-32.3460277777778
39 Peg ,22:32:35.5 ,20:13:48.0 ,H-coron (~1 hr); H-coron-pol,338.147916666667,20.23
HIP 111594 ,22:36:29.3 ,-40:34:57.0 ,H-coron (~1 hr),339.122083333333,-40.5825
HD 214867 ,22:41:45.4 ,-39:27:41.9 ,H-coron (~1 hr),340.439166666667,-39.4616388888889
CPD-72 2713 ,22:42:48.9 ,-71:42:21.2 ,H-coron (~1 hr),340.70375,-71.7058888888889
TYC 1701-642-1,22:44:41.5 ,17:54:18.3 ,H-coron (~1 hr),341.172916666667,17.9050833333333
V* WW PsA ,22:44:57.9 ,-33:15:01.7 ,H-coron (~1 hr),341.24125,-33.2504722222222
HIP 112515 ,22:47:26.7 ,-44:57:55.0 ,H-coron (~1 hr),341.86125,-44.9652777777778
HIP 112581 ,22:48:06.9 ,-37:45:24.0 ,H-coron (~1 hr),342.02875,-37.7566666666667
HIP 112714 ,22:49:32.2 ,10:28:43.3 ,H-coron (~1 hr),342.384166666667,10.4786944444444
TW PsA ,22:56:24.1 ,-31:33:56.0 ,H-coron (~1 hr),344.100416666667,-31.5655555555556
Fomalhaut ,22:57:39.0 ,-29:37:20.0 ,H-coron (~1 hr); H-coron-pol,344.4125,-29.6222222222222
HD 217343 ,23:00:19.3 ,-26:09:13.5 ,H-coron (~1 hr),345.080416666667,-26.15375
MT Peg ,23:03:05.0 ,20:55:06.9 ,H-coron (~1 hr),345.770833333333,20.9185833333333
HIP 113839 ,23:03:11.6 ,-47:15:19.1 ,H-coron (~1 hr),345.798333333333,-47.2553055555556
HR 8799 ,23:07:28.7 ,21:08:03.3 ,H-coron (~1 hr); H-coron-pol,346.869583333333,21.13425
HIP 114530 ,23:11:52.1 ,-45:08:10.0 ,H-coron (~1 hr),347.967083333333,-45.1361111111111
HIP 114948 ,23:16:57.7 ,-62:00:04.3 ,H-coron (~1 hr),349.240416666667,-62.0011944444444
HIP 115527 ,23:24:06.3 ,-07:33:03.0 ,H-coron (~1 hr); H-coron-pol,351.02625,-7.55083333333333
HIP 115738 ,23:26:56.0 ,01:15:20.2 ,H-coron (~1 hr); H-coron-pol,351.733333333333,1.25561111111111
CD-86 147 ,23:27:49.4 ,-86:13:18.7 ,H-coron (~1 hr),351.955833333333,-86.2218611111111
GJ 1284 ,23:30:13.4 ,-20:23:27.4 ,H-coron (~1 hr),352.555833333333,-20.3909444444444
HIP 116063 ,23:31:02.9 ,-69:04:36.3 ,H-coron (~1 hr),352.762083333333,-69.07675
TYC 5835-239-1,23:32:22.7 ,-13:39:07.0 ,H-coron (~1 hr),353.094583333333,-13.6519444444444
BD-13 6424 ,23:32:30.8 ,-12:15:51.4 ,H-coron (~1 hr),353.128333333333,-12.2642777777778
HIP 116258 ,23:33:23.8 ,-12:39:53.0 ,H-coron (~1 hr),353.349166666667,-12.6647222222222
HD 221853 ,23:35:36.2 ,08:22:57.4 ,H-coron (~1 hr); H-coron-pol,353.900833333333,8.38261111111111
HIP 116611 ,23:37:56.8 ,18:24:02.2 ,H-coron (~1 hr),354.486666666667,18.4006111111111
TYC 9339-2157-1,23:39:39.2 ,-69:11:39.5 ,H-coron (~1 hr),354.913333333333,-69.1943055555556
TYC 9339-55-1,23:39:39.4 ,-69:11:44.8 ,H-coron (~1 hr),354.914166666667,-69.1957777777778
HIP 116928 ,23:42:02.8 ,01:46:48.1 ,H-coron (~1 hr),355.511666666667,1.78002777777778
HIP 116971 ,23:42:43.3 ,-14:32:41.7 ,H-coron (~1 hr),355.680416666667,-14.5449166666667
HIP 117219 ,23:46:01.2 ,-40:10:56.9 ,H-coron (~1 hr),356.505,-40.1824722222222
HIP 117452 ,23:48:55.6 ,-28:07:49.0 ,H-coron (~1 hr); H-coron-pol,357.231666666667,-28.1302777777778
HIP 117481 ,23:49:19.6 ,-27:51:14.9 ,H-coron (~1 hr); H-coron-pol,357.331666666667,-27.8541388888889
HIP 118008 ,23:56:10.7 ,-39:03:08.4 ,H-coron (~1 hr); H-coron-pol,359.044583333333,-39.0523333333333
HIP 118121 ,23:57:35.0 ,-64:17:53.1 ,H-coron (~1 hr),359.395833333333,-64.2980833333333
